Text, BVN Spam,Investment Scam,419 Scams,Fake Job,Legitimate Texts
We have successfully completed our upgrade. Sincere apologies for any inconvenience you may have experienced. We remain committed to serving you. Thank you,0,0,0,0,1
Our branches will close at 2:00 pm this Friday for a service upgrade. All our services will also be unavailable from 12:00 am on Saturday to 12noon on Sunday.,0,0,0,0,1
"Dear Customer,
This is a confirmation that the password for your onlineAccess account has just been changed, If you didn't request or make this password change, Kindly copy this link bellow and PASTE on your browser  http://x.co/Accesbank for security purpose. 
If you made this password cha

nge kindly copy this link bellow and PASTE on your browser to review your account informations  http://x.co/Accesbank 
Thank you for banking with us.Terms & Conditions Do Not Call Registry  Disclaimer | Multilingual Disclaimer | Code of Commitment |
 Group Code of Business Conduct and Ethics | Use of Unparliamentary Language by Customers | Privacy | USA Patriot Act Certification",1,0,0,0,0
"Hello ADEYINKA, present your CV for interview on the MD’s desk on FRIDAY 13/04/2018 at MADE HILLS SOLUTION.
Time: 9am.
Address: 65c Opebi road, opposite glass house by Salvation b/stop, Opebi, Ikeja, Lagos.
Need help/directions?
Call Admin: 0803-449-6175/6202
",0,0,0,1,0
"Edgerit Limited invites you for an interview for the position of Medical Sales Representative on Monday, January 8, 2018. Time: 1pm Venue: WaterCress Hotel, 48, Oritshe Street, Off Balogun Street, Off Awolowo way, Ikeja, Lagos. Kindly acknowledge the receipt of this message.",0,0,0,1,0
"You are invited for an aptitude test with UBA Plc, at UBA House 57 Marina.

Date: 12/04/18
Time: 2:00PM

Please come with all your original credentials.",0,0,0,1,0
"Mag consult ltd, shortlisted (you/candidate no 00152144) for an interview on Monday 16th April 2018 by 10am, at plot 5, ole close off billing way, Oregun alausa ikeja..,. ",0,0,0,1,0
"This is your interview invite with MAG CONSULT (RC11159) on wed 07/03/18 by 8am at 5, oke close off olayiwola street, police post, oregun ikeja.",0,0,0,1,0
Dps invites u for an interview chat to work with us on Fri 02/03/2018 by 9am@daura rd by magajin gari opp yabi plaza kad Dps/ygo/115,0,0,0,1,0
"Dear Candidate, In response to your application for the role of PROFESSIONAL SALES STAFF. You have been invited for an interview at FOSAD CONSULTING LIMITED. Details below: Date: Monday 9th of April , 2018 Time: 3:00pm prompt. Venue: No 8, office apartment , Alaba Williams ,off Admiralty way, Lekki Phase 1. Kind regards, Olalekan Adeyanju Recruitment Associate/HSE Officer cid:image00...",0,0,0,1,0
"You have been scheduled for an interview session with ATB TECHSOFT SOLUTIONS LIMITED as detailed below: Date: Monday, 23rd of April 2018. Time: 10:00 a.m. Address: 8,Jubilee/CMD Road, Magodo, Lagos. Role: Graphics Designer and Web Administrator Please, come along with your CV, credentials and a passport photograph. Kindly acknowledge receipt of this mail and confirm availability",0,0,0,1,0
HR APPROVED! You are invited for an Interview with Board of Directors Tomorow Sat 30/3/19 by 9am at 32 Olufemi Rd by Lawanson B/Stop SuruLere Lagos. Ref:PTL/MT,0,0,0,1,0
"Dear Applicant,
After a background check of your CV, you are hereby invited for an interview at one of our selected centers in Lagos on FRIDAY 15th of March 2019.
Venue: Number 6, Remilekun Street, off Ogunlana Drive, Surulere Lagos.
Time: 9am
Kindly come with a printed copy of this invitation, a pen and a print out of your CV as you will not be allowed in without it.
Note that the invitation is a response to the Application/CV you submitted which we are handling on behalf of our client and you can recourse to us if you did not apply for such position for us to manage your record properly.
Best Regards,
Recruitment Team
MATRIXGLOVER INTERNATIONAL
NOTE: You will meet with the Deputy Managing Director, Head Human Resources of our client after this oral assessment for proper evaluation.
",0,0,0,1,0
"Dear Candidate,
We are impressed by your background, you have been recommended for a JOB BRIEFING which has been scheduled for Tuesday, 5th March  2019, the interview will start at exactly 9:00am
VENUE: 3RD FLOOR, CROWNET PLAZA, IDRIS GIDADO STREET, WUYE, ABUJA.
We look forward to meeting you.
For proper documentation and easy access print out this mail.
Two(2) passport photograph
Writing materials
If there is any query please feel free to write to us.
REGARDS
REF NO: LSR/513/FCT",0,0,0,1,0
"After a background check of your CV, you are hereby invited for an interview at one of the selected centers in Lagos on Friday 1st March 2019.
Venue: Number 2, Akin Osiyemi Street, First Bank Bus Stop, Opposite Sterling Bank, Allen Avenue, Ikeja Lagos.
Time: 10am
Kindly come with a printed copy of this invitation, your writing materials; a pen, notebook and a print out of your updated CV as you will not be allowed in without it.
Note that the invitation is a response to the application/CV you submitted which we are handling on behalf of our client and you can recourse to us if you did not apply for such position for us to manage your records properly.
Best Regards,
Uni Consult.
Note: You would meet with the Deputy Managing Director, Head of Human Resources of our client after the oral assessment for proper evaluation. ",0,0,0,1,0
"Dear Applicant, Your application has been Reviewed and you have been fixed for an Oral Interview with the Human Resource Team. JOB POSITION: BUSINESS DEVELOPMENT OFFICER DATE :Friday 1st March 2019 TIME : 10am VENUE:No5, Surulere House, Along Industrial Road, End off Adeniyi Jones. Ikeja Lagos state. Come with an updated copy of your CV. Warm regards, Mrs Bella 08169294074 HR UNIT",0,0,0,1,0
"BLUERIDGE GLOBAL <info.blueridgeglobal@gmail.com>
Feb 25 at 11:20 AM
Dear Applicant,
Congratulations! After careful consideration of your application, you stood out to us and you are hereby invited for a brief oral interview with our human resource team.
Kindly find details of the interview below:
Date:   Wednesday, 27th February 2019
Venue: Last Floor Surulere House, Fummec bus-stop, adjacent Standard Organization of Nigeria, End of Adeniyi Jones, Ogba, Lagos.
Time:   9:30a.m.
Note: Kindly CONFIRM your attendance, Dress cooperate and come along with the printed copy of this invitation and your updated resume
Regards,
Admin Joan
Office line- 08074557813",0,0,0,1,0
"Dear Applicant,
Your application has been Reviewed and you have been fixed for an Oral Interview with the head of Human Resource
JOB POSITION: Administrative officer 
Dates: Monday,18th February, 2019 by 10:00am
Interview Venue: 5, Surulere House, Along Industrial Road, End off Adeniyi Jones. Ikeja 
Lagos state.
Come with an updated copy of your CV.
Please show your availability for the interview 
Warm regards,
HR Unit
Miss Adebayo
07087242450",0,0,0,1,0
"Dear Applicant,
After a background check of your CV, you are hereby invited for an interview at one of the selected centres in Lagos on Tuesday 22nd January 2019.
Venue: Number 2, Akin Osiyemi street, First bank Bus-stop, opposite Sterling Bank, Allen Avenue, Ikeja Lagos
Time: 10am
Kindly come with a printed copy of this invitation, a pen and a print out of your updated CV as you will not be allowed in without it.
Note that the invitation is a response to the application/CV you submitted which we are handling on behalf of our client and you can recourse to us if you did not apply for such position for us to manage your record properly.
Best Regards,
Recruitment Team
Foreshore Consulting",0,0,0,1,0
"Dear Applicant,
After a background check of your CV, you are hereby invited for an interview at one of the selected centres in Lagos on Tuesday 22nd January 2019.
Venue: Number 2, Akin Osiyemi street, First bank Bus-stop, opposite Sterling Bank, Allen Avenue, Ikeja Lagos
Time: 10am
Kindly come with a printed copy of this invitation, a pen and a print out of your updated CV as you will not be allowed in without it.
Note that the invitation is a response to the application/CV you submitted which we are handling on behalf of our client and you can recourse to us if you did not apply for such position for us to manage your record properly.
Best Regards,
Recruitment Team
Foreshore Consulting",0,0,0,1,0
"GOF Autos Ltd has received and perused your application; you are hereby invited for an interview on Monday (21/1/19) by 10am at 26, Ayo Balogun street, green field estate, opic, isheri north estates. DIR: from Berger, alight at Fagbem filling station after opic event hall; you can also call 090-3017-5326 or 080-8014-3083 for direction NB. Come with a copy of your CV and you must be in LAGOS STATE.",0,0,0,1,0
"You have been shortlisted for an interview at LibiShop Limited. Please make yourself available on Tuesday 15th Jan 2019 by 10.00AM at 320 Odunsanmi Street Off Wempco Road Ogba Lagos
Please confirm availability, Thanks
08110128588",0,0,0,1,0
"Thank you for applying to become part of our workforce. Sequel to your recent application via our online advertorial page, we are pleased with your background.
In view of this you have been Shortlisted to attend our LEADERSHIP/BUSINESS ASSESSMENT and WORKSHOP for an INTERVIEW to be a Team/ Unit leader.
OVERVIEW OF CENTER FOR LEADERSHIP, ENTREPRENEURSHIP AND DEVELOPMENT INITIATIVE CFLEAD
Is the culmination of years of experience in the corporate and small business worlds, with a passion for raising businessmen and women.
Our priority is to assist individuals in having a befitting lifestyle, acquire their desire and live a healthy life, using capacity building as a critical tool.
VENUE: 13 Ajumobi Olorounje street, off acme road BESIDE FIRST BANK. Firstgate Bus-stop Agidingbi Ikeja.
DATE: Tuesday 15th January 2019
TIME: 9am prompt
NOTE:-  You are required to tender this invitation and passport photographs at the point of entrance for security purpose.
We are sorry for the short notice, however; it’s imperative to confirm your availability, do so by replying to this e-mail.
We look forward to seeing you.
DR BRUCE",0,0,0,1,0
"Sequel to your response, you are invited for an interview for the position of MARKETING EXECUTIVE in STERLING HOMES LIMITED. Date: MONDAY 14th JANUARY, 2019, Time: 11am. Venue:  #Plot 2 , River Valley Estate, Ojodu Berger, Lagos, Nigeria.",0,0,0,1,0
"ear Applicant,
After a background check of your CV, you are hereby invited for an interview at one of the selected centres in Lagos on Monday, 7th January , 2019. 
Venue: Number 2, Akin Osiyemi street, First Bank Bus Stop, Opposite Sterling Bank, Allen Avenue, Ikeja Lagos.
Time: 10am
Kindly come with a printed copy of this invitation, a pen and a print out of your updated CV as you will not be allowed in without it.
Note that the invitation is a response to the application/CV you submitted which we are handling on behalf of our client and you can recourse to us if you did not apply for such position for us to manage your records properly.
Best Regards,
Skyline Consulting 
NOTE: You will meet with the Deputy Managing Director, Head of Human Resource of our client after the oral assessment for proper evaluation.",0,0,0,1,0
